key,0
#,Text
int32,str
0,""
1,"Abalathias Rückgrat erreicht. Nehme Kurs auf: <Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>."
2,"<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/> erreicht. Beginne die Erstuntersuchung."
3,"<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/> erreicht. Beginne die Untersuchung."
4,"Keine Turbulenzen, ideale Flugbedingungen. <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> der <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> ist ausreichend für die Erkundung des Zielorts. "
5,"Starker Wind. <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> stabil, aber eine Beeinträchtigung der Erkundung ist möglich."
6,"Heftige Turbulenzen. <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> stabil, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
7,"Keine Turbulenzen, Flug stabil. <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> ist im Normalbereich."
8,"Starker Wind. <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> stabil, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
9,"<Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> sinkend. Setze Erkundung bis zum Erreichen des Grenzwerts fort."
10,"Hochwertige <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion nach Auswahl der optimalen Probe."
11,"Hochwertige <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion."
12,"<Clickable(<SheetDe(Item,5,IntegerParameter(1),2,4,1)/>)/> entdeckt. Beginne Extraktion."
13,"Vorzügliche <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion."
14,"Hervorragende Ausbeute aufgrund optimaler <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>!"
15,"Gute Ausbeute aufgrund hoher <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>!"
16,"Durchschnittliche Ausbeute aufgrund mittlerer <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>."
17,"Unterdurchschnittliche Ausbeute aufgrund niedriger <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>."
18,"Mangelhafte Ausbeute aufgrund äußerst niedriger <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>."
19,"Verschwindend geringe Ausbeute aufgrund minimaler <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/>."
20,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow><Clickable(<SheetDe(Item,1,IntegerParameter(1),IntegerParameter(2),4,1)/>)/> erhalten!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
21,"Vielversprechende Auffälligkeiten registriert. Setze Erkundung fort."
22,"Vielversprechende Auffälligkeiten registriert. Zustand des Luftschiffs erlaubt jedoch keine weitere Erkundung. Kehre zur Werkstätte zurück."
23,"Vielversprechende Auffälligkeiten registriert, jedoch wieder verloren. "
24,"Keine weiteren Auffälligkeiten in diesem Gebiet gefunden."
25,"Untersuchung von Zielort „<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als optimal bewertet!"
26,"Untersuchung von Zielort „<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als gut bewertet!"
27,"Untersuchung von Zielort „<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als zufriedenstellend bewertet."
28,"Untersuchung von Zielort „<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als nicht ausreichend bewertet. Austausch von Bauteilen empfohlen."
29,"Untersuchung von Zielort „<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als äußerst unzufriedenstellend bewertet."
30,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> hat <Value>IntegerParameter(2)</Value><If(Equal(IntegerParameter(3),0))><Else/> (+<Value>IntegerParameter(3)</Value>%)</If> Routine erhalten.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
31,"Nehme Kurs auf nächsten Zielort: <Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>."
32,"Alle Zielorte untersucht. Kehre zur Werkstätte zurück."
33,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Neuen potenziellen Zielort entdeckt: <Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
34,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Erlaubnis zur Registrierung eines weiteren Luftschiffs erhalten!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
