key,0
#,
int32,str
0,""
1,"Unbekannte Gewässer erreicht. Nehme Kurs auf: <Sheet(SubmarineExploration,IntegerParameter(1),0)/>."
2,"<Sheet(SubmarineExploration,IntegerParameter(1),0)/> erreicht. Beginne die Erstuntersuchung."
3,"<Sheet(SubmarineExploration,IntegerParameter(1),0)/> erreicht. Beginne die Untersuchung."
4,"Gewässer ruhig, Bedingungen optimal. <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> der <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> ist ausreichend für die Erkundung des Zielorts. "
5,"Starke Strömung entdeckt. <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> des Tauchboots ausreichend, aber eine Beeinträchtigung der Erkundung ist möglich."
6,"Submaritime vulkanische Aktivität entdeckt. <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> des Tauchboots ausreichend, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
7,"Gewässer ruhig. <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> des Tauchboots ist im Normalbereich."
8,"Starke Strömung entdeckt. <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> des Tauchboots ausreichend, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
9,"<Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/> des Tauchboots sinkend. Setze Erkundung bis zum Erreichen des Grenzwerts fort."
10,"Hochwertige <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion nach Auswahl der optimalen Probe."
11,"Hochwertige <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion."
12,"<Clickable(<SheetDe(Item,5,IntegerParameter(1),2,4,1)/>)/> entdeckt. Beginne Extraktion."
13,"Vorzügliche <SheetDe(Item,5,IntegerParameter(1),2,4,1)/> entdeckt. Beginne Extraktion."
14,"Hervorragende Ausbeute aufgrund optimaler <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/>!"
15,"Unterdurchschnittliche Ausbeute aufgrund niedriger <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/>."
16,"Verschwindend geringe Ausbeute aufgrund minimaler <Sheet(SubmarineSpecCategory,IntegerParameter(2),0)/>."
17,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow><Clickable(<SheetDe(Item,1,IntegerParameter(1),IntegerParameter(2),4,1)/>)/> erhalten!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
18,"Vielversprechende Auffälligkeiten registriert. Setze Erkundung fort."
19,"Vielversprechende Auffälligkeiten registriert. Zustand des Tauchboots erlaubt jedoch keine weitere Erkundung. Kehre zur Werkstätte zurück."
20,"Keine weiteren Auffälligkeiten in diesem Gebiet gefunden."
21,"Untersuchung von Zielort „<Sheet(SubmarineExploration,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als optimal bewertet!"
22,"Untersuchung von Zielort „<Sheet(SubmarineExploration,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als gut bewertet!"
23,"Untersuchung von Zielort „<Sheet(SubmarineExploration,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als zufriedenstellend bewertet."
24,"Untersuchung von Zielort „<Sheet(SubmarineExploration,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als nicht ausreichend bewertet. Austausch von Bauteilen empfohlen."
25,"Untersuchung von Zielort „<Sheet(SubmarineExploration,IntegerParameter(1),0)/>“ abgeschlossen. Die Leistung der <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis> wurde als äußerst unzufriedenstellend bewertet."
26,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> hat <Value>IntegerParameter(2)</Value><If(Equal(IntegerParameter(3),0))><Else/> (+<Value>IntegerParameter(3)</Value>%)</If> Routine erhalten.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
27,"Nehme Kurs auf nächsten Zielort: <Sheet(SubmarineExploration,IntegerParameter(1),0)/>."
28,"Alle Zielorte untersucht. Kehre zur Werkstätte zurück."
29,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Neuen potenziellen Zielort entdeckt: <Sheet(SubmarineExploration,IntegerParameter(1),0)/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
30,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Erlaubnis zur Registrierung eines weiteren Tauchboots erhalten!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
31,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Neue Seekarte entdeckt: <Sheet(SubmarineMap,IntegerParameter(1),0)/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
