key,0
#,Text
int32,str
0,""
1,"Montagnes d'Abalathia franchies. Mettons le cap vers “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>”."
2,"“<Clickable(<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>)/>” atteint. Commençons exploration préliminaire."
3,"“<Clickable(<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>)/>” atteint. Commençons exploration."
4,"Conditions de vol idéales... <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> de <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> suffisante."
5,"Subissons vents violents... <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> de <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> suffisante, mais influence sur les opérations à craindre."
6,"Subissons violentes turbulences... <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> de <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> suffisante, mais conduite des opérations très difficile."
7,"Aucune turbulence détectée... <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> de <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> normale."
8,"Subissons vents violents... <Sheet(AirshipExplorationParamType,IntegerParameter(2),0)/> de <Emphasis><Highlight>StringParameter(1)</Highlight></Emphasis> normale, mais conduite des opérations très difficile."
9,"L'aéronef connaît une perte de <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F>. Poursuivons la conduite des opérations autant que possible."
10,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),2,1)/>)/> de bonne qualité découvert<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>s. Commençons extraction sélective."
11,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),2,1)/>)/> de bonne qualité découvert<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>s. Commençons extraction."
12,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),2,1)/>)/> découvert<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>s. Commençons extraction."
13,"<Clickable(<SheetFr(Item,12,IntegerParameter(1),2,1)/>)/> découvert<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If>s. Commençons extraction."
14,"Mise en œuvre optimale de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction excellent."
15,"Bonne mise en œuvre de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction plus que satisfaisant."
16,"Mise en œuvre normale de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction satisfaisant."
17,"Mise en œuvre limitée de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction à peine satisfaisant."
18,"Mise en œuvre très limitée de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction insatisfaisant."
19,"Mise en œuvre médiocre de la <Unknown2F>FF25022821FF1C416972736869704578706C6F726174696F6E506172616D54797065E8030103</Unknown2F> de l'appareil. Résultat d'extraction très insatisfaisant."
20,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow><If(Equal(IntegerParameter(2),1))><Clickable(<SheetFr(Item,1,IntegerParameter(1),1,1)/>)/><Else/><Value>IntegerParameter(2)</Value> <SheetFr(Item,12,IntegerParameter(1),2,1)/></If> obtenu<If(<Sheet(Item,IntegerParameter(1),6)/>)>e<Else/></If><If(Equal(IntegerParameter(2),1))><Else/>s</If><Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
21,"Autres points d'intérêt détectés... Poursuivons exploration."
22,"Autres points d'intérêt détectés... Mais l'état de l'aéronef ne permettant pas d'explorer davantage, poursuivons notre chemin."
23,"Autres points d'intérêt détectés... Mais signal perdu."
24,"Aucune autre point d'intérêt détecté."
25,"Exploration de “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>” terminée<Indent/>! Performance ex<SoftHyphen/>cep<SoftHyphen/>tion<SoftHyphen/>nelle de <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis><Indent/>!"
26,"Exploration de “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>” terminée<Indent/>! Bonne performance de <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis><Indent/>!"
27,"Exploration de “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>” terminée<Indent/>! Performance satisfaisante de <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis><Indent/>!"
28,"Exploration de “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>” terminée<Indent/>! Performance à peine satisfaisante de <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis><Indent/>!"
29,"Exploration de “<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>” terminée<Indent/>! Performance décevante de <Emphasis><Highlight>StringParameter(2)</Highlight></Emphasis><Indent/>!"
30,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow><Emphasis><Clickable(<Highlight>StringParameter(1)</Highlight>)/></Emphasis> gagne <Value>IntegerParameter(2)</Value> <If(Equal(IntegerParameter(3),0))><Else/>(+<Value>IntegerParameter(3)</Value>%)</If> points d'expérience.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
31,"Mettons le cap vers la prochaine destination<Indent/>: <Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>."
32,"Exploration de toutes les destinations terminée. Retournons à l'atelier."
33,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Nouveau lieu d'exploration découvert<Indent/>: <Clickable(<Sheet(AirshipExplorationPoint,IntegerParameter(1),0)/>)/>.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
34,"<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>Enregistrement d'un aéronef sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re autorisé<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
